group,dunn
2,0.097602
2,0.097602
2,0.097602
2,0.080066
2,0.097602
2,0.080066
2,0.097602
2,0.097602
2,0.097602
2,0.080066
3,0.061957
3,0.061957
3,0.060176
3,0.097602
3,0.075661
3,0.080066
3,0.044889
3,0.075661
3,0.087569
3,0.047535
4,0.086707
4,0.079262
4,0.109931
4,0.061957
4,0.109931
4,0.130980
4,0.066136
4,0.075099
4,0.061957
4,0.082338
5,0.102346
5,0.062976
5,0.129039
5,0.081344
5,0.065816
5,0.066136
5,0.065816
5,0.074614
5,0.130980
5,0.106719
6,0.061957
6,0.130980
6,0.067388
6,0.061957
6,0.081344
6,0.066136
6,0.081344
6,0.085362
6,0.065816
6,0.112404
7,0.066136
7,0.061957
7,0.086256
7,0.065816
7,0.070087
7,0.066136
7,0.087677
7,0.061957
7,0.065816
7,0.066136
8,0.066013
8,0.066136
8,0.070428
8,0.065816
8,0.087467
8,0.095754
8,0.065816
8,0.096968
8,0.073261
8,0.091336
9,0.065816
9,0.065816
9,0.066136
9,0.066136
9,0.066136
9,0.098065
9,0.070214
9,0.074948
9,0.068057
9,0.065816
10,0.065816
10,0.070087
10,0.074771
10,0.065816
10,0.070665
10,0.069790
10,0.066136
10,0.066136
10,0.065816
10,0.051990
